preprocessed_text,label
해운대구 배회 중인 김민호 남다 찾다 상의 검은색 후드 회색 계통 바지 검다 가방 부산 경찰청,34
오늘 시 분경 거 제동 청마 마이 우스 오피스텔 층 화재 발생 차량 건물 주변 도로 우회 안전 유의 하다 바라다 연제구,8
어등 대교 평동 청방 항 차로 신축 이음 장치 파손 현재 긴급 복구 중 교통 매우 정체 되다 주의 우회 바라다 광주 광역시,8
서구 주민 허조 배씨 남다 찾다 중절모 베이지색 점퍼 검정 바지 희다 슬리퍼 희다 마스크 광주 경찰청,34
중랑구 주민 강명운 남다 찾다 통통 백발 검정 패딩 검정 기다 바지 갈색 슬리퍼 서울 경찰청,33
도봉구 주민 임용 택 남다 찾다 검정 점퍼 검정 바지 검정 모자 등산 서울 경찰청,34
군포시 실종 되다 영희 세 찾다 짧다 단발 파마 줄무늬 기다 상의 바지 경기 남부 경찰청,33
중구 목격 되다 음 영희 세 찾다 빨강 스웨터 검정 바지 분홍색 털모자 서울 경찰청,34
영등포구 배회 중인 황민준 남다 찾다 체크 무늬 후드 티셔츠 회색 바지 베낭 롯데 마트 가방 서울 경찰청,34
동래구 주민 유탁 남다 찾다 검정색 패딩 검정색 모자 검정색 바지 부산 경찰청,34
구로구 주민 명월 세 찾다 남색 잠바 줄무늬 잠옷 바지 크다 록스 신발 임산부 배 나오다 서울 경찰청,33
부천시 주민 원래 세 찾다 희다 머리 남색 점퍼 몸빼바지 빨간색 운동화 서울 경찰청,33
부천시 주민 원래 세 찾다 희다 머리 남색 점퍼 몸빼바지 빨간색 운동화 경기 남부 경찰청,33
논산시 목격 되다 전하은 세다 찾다 하늘색 가디건 청바지 검정 팩 베트남국 충남 경찰청,34
연수구 주민 정진섭 남다 찾다 백발 머리 검정색 외투 파랑 계통 잠옷 바지 슬리퍼 인천 경찰청,34
종로구 주민 김종필 남다 찾다 짧다 백발 머리 회색 점퍼 회색 추리 닝 바지 파란색 신발 서울 경찰청,34
강북구 주민 노상 자씨 세 찾다 파란색 패딩 검다 바지 희다 운동화 남색 벙거지 모자 분홍 팩 서울 경찰청,34
중구 실종 되다 윤 훈남 세다 찾다 밝다 초록색 상하 청색 가방 착용 실내 가방 대전 경찰청,34
동래구 최종 목격 되다 선호 남다 찾다 파란색 계통 환자복 상하 흰색 신발 부산 경찰청,34
해운대구 최종 목격 되다 김수환 남다 찾다 검정 점퍼 바지 운동화 파란색 티셔츠 뿔테 안경 부산 경찰청,34
북구 주민 김수환 남다 찾다 검정 점퍼 바지 운동화 파란색 티셔츠 뿔테 안경 부산 경찰청,34
김포 지역 아파트 화재 시 인명 피해 예방 위 옥상 대피 가능 드리다 피난 경로 파악 하다 김포 시청,35
노원구 배회 김창운 남다 찾다 회색 조끼 푸르다 열다 상의 검정 계열 검정 운동화 서울 경찰청,34
의정부시 주민 김창운 남다 찾다 회색 조끼 푸르다 열다 상의 검정 계열 검정 운동화 경기 북부 경찰청,34
